Imprint,Product ID,Full Title,ISSN,Change History,Journal title,OA model,Currency,Price,freedom_collection
NA,15860,Revue des Maladies Respiratoires ActualitÈs,1877-1203,NA,NA,NA,NA,NA,not included
Academic Press,12001,Advances in Applied Mathematics,0196-8858,NA,Advances in Applied Mathematics,Hybrid,USD,1500,Freedom Collection
Academic Press,12005,Advances in Mathematics,0001-8708,NA,Advances in Mathematics,Hybrid,USD,1500,Freedom Collection
Academic Press,12695,Anaerobe,1075-9964,NA,Anaerobe,Hybrid,USD,1750,Freedom Collection
Academic Press,12002,Analytical Biochemistry,0003-2697,NA,Analytical Biochemistry,Hybrid,USD,3300,Freedom Collection
Academic Press,12602,Animal Behaviour,0003-3472,Formerly known as The British Journal of Animal Behaviour; Incorporating Animal Behaviour Monographs,Animal Behaviour,Hybrid,USD,2600,Freedom Collection
Academic Press,12006,Annals of Physics,0003-4916,NA,Annals of Physics,Hybrid,USD,2200,Freedom Collection
Academic Press,12633,Appetite,0195-6663,NA,Appetite,Hybrid,USD,3000,Freedom Collection
Academic Press,12003,Applied and Computational Harmonic Analysis,1063-5203,NA,Applied and Computational Harmonic Analysis,Hybrid,USD,1500,Freedom Collection
Academic Press,12007,Archives of Biochemistry and Biophysics,0003-9861,NA,Archives of Biochemistry and Biophysics,Hybrid,USD,3100,Freedom Collection
Academic Press,12004,Atomic Data and Nuclear Data Tables,0092-640X,NA,Atomic Data and Nuclear Data Tables,Hybrid,USD,2200,Freedom Collection
Academic Press,12009,Biochemical and Biophysical Research Communications,0006-291X,NA,Biochemical and Biophysical Research Communications,Hybrid,USD,2300,Freedom Collection
Academic Press,12012,Biological Control,1049-9644,NA,Biological Control,Hybrid,USD,3000,Freedom Collection
Academic Press,12680,Biologicals,1045-1056,Formerly known as Journal of Biological Standardization,Biologicals,Hybrid,USD,3000,Freedom Collection
Academic Press,12014,Bioorganic Chemistry,0045-2068,NA,Bioorganic Chemistry,Hybrid,USD,2600,Freedom Collection
Academic Press,12610,Biosystems Engineering,1537-5110,Formerly known as Journal of Agricultural Engineering Research,Biosystems Engineering,Hybrid,USD,2750,Freedom Collection
Academic Press,12011,"Blood Cells, Molecules, and Diseases",1079-9796,NA,"Blood Cells, Molecules and Diseases",Hybrid,USD,3300,Freedom Collection
Academic Press,12008,"Brain, Behavior, and Immunity",0889-1591,NA,Brain Behavior and Immunity,Hybrid,USD,3000,Freedom Collection
Academic Press,12010,Brain and Cognition,0278-2626,NA,NA,NA,NA,NA,Freedom Collection
Academic Press,12015,Brain and Language,0093-934X,NA,Brain and Language,Hybrid,USD,2500,Freedom Collection
Academic Press,12663,The British Accounting Review,0890-8389,NA,The British Accounting Review,Hybrid,USD,1800,Freedom Collection
Academic Press,12020,Cellular Immunology,0008-8749,NA,Cellular Immunology,Hybrid,USD,2200,Freedom Collection
Academic Press,12021,Clinical Immunology,1521-6616,Formerly known as Clinical Immunology and Immunopathology,Clinical Immunology,Hybrid,USD,3900,Freedom Collection
Academic Press,12022,Cognitive Psychology,0010-0285,NA,Cognitive Psychology,Hybrid,USD,1800,Freedom Collection
Academic Press,12659,Computer Speech & Language,0885-2308,NA,Computer Speech & Language,Hybrid,USD,2400,Freedom Collection
Academic Press,12024,Computer Vision and Image Understanding,1077-3142,Formerly known as CVGIP: Image Understanding,Computer Vision and Image Understanding,Hybrid,USD,2400,Freedom Collection
Academic Press,12018,Consciousness and Cognition,1053-8100,NA,Consciousness and Cognition,Hybrid,USD,2350,Freedom Collection
Academic Press,12019,Contemporary Educational Psychology,0361-476X,NA,Contemporary Educational Psychology,Hybrid,USD,1800,Freedom Collection
Academic Press,12634,Cretaceous Research,0195-6671,NA,Cretaceous Research,Hybrid,USD,3300,Freedom Collection
Academic Press,12681,Critical Perspectives on Accounting,1045-2354,NA,Critical Perspectives on Accounting,Hybrid,USD,1100,Freedom Collection
Academic Press,12023,Cryobiology,0011-2240,NA,Cryobiology,Hybrid,USD,2500,Freedom Collection
Academic Press,12674,Cytokine,1043-4666,NA,Cytokine,Hybrid,USD,3400,Freedom Collection
Academic Press,12025,Developmental Biology,0012-1606,NA,Developmental Biology,Hybrid,USD,2350,Freedom Collection
Academic Press,12026,Developmental Review,0273-2297,NA,Developmental Review,Hybrid,USD,1800,Freedom Collection
Academic Press,12027,Digital Signal Processing,1051-2004,NA,Digital Signal Processing,Hybrid,USD,2400,Freedom Collection
Academic Press,12030,Ecotoxicology and Environmental Safety,0147-6513,NA,Ecotoxicology and Environmental Safety,Hybrid,USD,2500,Freedom Collection
Academic Press,12035,Environmental Research,0013-9351,NA,Environmental Research,Hybrid,USD,3400,Freedom Collection
Academic Press,12876,Epilepsy & Behavior,1525-5050,NA,Epilepsy & Behavior,Hybrid,USD,2750,Freedom Collection
Academic Press,12641,"Estuarine, Coastal and Shelf Science",0272-7714,Formerly known as Estuarine and Coastal Marine Science,"Estuarine, Coastal and Shelf Science",Hybrid,USD,3100,Freedom Collection
Academic Press,12636,European Journal of Combinatorics,0195-6698,NA,European Journal of Combinatorics,Hybrid,USD,1500,Freedom Collection
Academic Press,12028,Experimental Cell Research,0014-4827,NA,Experimental Cell Research,Hybrid,USD,2350,Freedom Collection
Academic Press,12605,Experimental Eye Research,0014-4835,NA,Experimental Eye Research,Hybrid,USD,2750,Freedom Collection
Academic Press,12031,Experimental and Molecular Pathology,0014-4800,NA,Experimental and Molecular Pathology,Hybrid,USD,3000,Freedom Collection
Academic Press,12032,Experimental Neurology,0014-4886,Incorporating Neurodegeneration,Experimental Neurology,Hybrid,USD,3000,Freedom Collection
Academic Press,12034,Experimental Parasitology,0014-4894,NA,Experimental Parasitology,Hybrid,USD,2200,Freedom Collection
Academic Press,12029,Explorations in Economic History,0014-4983,NA,Explorations in Economic History,Hybrid,USD,1800,Freedom Collection
Academic Press,12037,Finite Fields and Their Applications,1071-5797,NA,Finite Fields and Their Applications,Hybrid,USD,1500,Freedom Collection
Academic Press,12683,Fish & Shellfish Immunology,1050-4648,NA,Fish and Shellfish Immunology,Hybrid,USD,3800,Freedom Collection
Academic Press,12652,Food Microbiology,0740-0020,NA,NA,NA,NA,NA,Freedom Collection
Academic Press,12039,Frontiers in Neuroendocrinology,0091-3022,NA,Frontiers in Neuroendocrinology,Hybrid,USD,3000,Freedom Collection
Academic Press,12038,Fungal Genetics and Biology,1087-1845,Formerly known as Experimental Mycology,Fungal Genetics and Biology,Hybrid,USD,2350,Freedom Collection
Academic Press,12040,Games and Economic Behavior,0899-8256,NA,Games and Economic Behavior,Hybrid,USD,1100,Freedom Collection
Academic Press,12033,General and Comparative Endocrinology,0016-6480,NA,General and Comparative Endocrinology,Hybrid,USD,3000,Freedom Collection
Academic Press,12043,Genomics,0888-7543,NA,Genomics,Hybrid,USD,2200,Freedom Collection
Academic Press,12044,Graphical Models,1524-0703,Formerly known as Graphical Models and Image Processing,Graphical Models,Hybrid,USD,2400,Freedom Collection
Academic Press,12045,Gynecologic Oncology,0090-8258,NA,Gynecologic Oncology,Hybrid,USD,2800,Freedom Collection
Academic Press,12047,Historia Mathematica,0315-0860,NA,NA,NA,NA,NA,Freedom Collection
Academic Press,12046,Hormones and Behavior,0018-506X,NA,Hormones and Behavior,Hybrid,USD,3000,Freedom Collection
Academic Press,12049,Icarus,0019-1035,NA,Icarus,Hybrid,USD,2900,Freedom Collection
Academic Press,12048,Information and Computation,0890-5401,Formerly known as Information and Control,Information and Computation,Hybrid,USD,1500,Freedom Collection
Academic Press,12608,International Journal of Human-Computer Studies,1071-5819,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition,International Journal of Human - Computer Studies,Hybrid,USD,3100,Freedom Collection
Academic Press,12632,"International Journal of Law, Crime and Justice",1756-0616,Formerly known as International Journal of the Sociology of Law,"International Journal of Law, Crime and Justice",Hybrid,USD,750,Freedom Collection
Academic Press,12628,Journal of Adolescence,0140-1971,NA,Journal of Adolescence,Hybrid,USD,2000,Freedom Collection
Academic Press,12051,Journal of Algebra,0021-8693,NA,Journal of Algebra,Hybrid,USD,1500,Freedom Collection
Academic Press,12050,Journal of Anthropological Archaeology,0278-4165,NA,Journal of Anthropological Archaeology,Hybrid,USD,1800,Freedom Collection
Academic Press,12053,Journal of Approximation Theory,0021-9045,NA,Journal of Approximation Theory,Hybrid,USD,1500,Freedom Collection
Academic Press,12643,Journal of Archaeological Science,0305-4403,NA,Journal of Archaeological Science,Hybrid,USD,2500,Freedom Collection
Academic Press,12627,Journal of Arid Environments,0140-1963,NA,Journal of Arid Environments,Hybrid,USD,2500,Freedom Collection
Academic Press,12665,Journal of Autoimmunity,0896-8411,NA,Journal of Autoimmunity,Hybrid,USD,4050,Freedom Collection
Academic Press,12017,Journal of Biomedical Informatics,1532-0464,Formerly known as Computers and Biomedical Research,Journal of Biomedical Informatics,Hybrid,USD,2800,Freedom Collection
Academic Press,12054,Journal of Catalysis,0021-9517,NA,NA,NA,NA,NA,Freedom Collection
Academic Press,12650,Journal of Cereal Science,0733-5210,NA,Journal of Cereal Science,Hybrid,USD,3300,Freedom Collection
