issn,.id,V1
1877-1203,2015,126
1877-1203,2016,124
1877-1203,2017,74
0196-8858,2018,96
0196-8858,2017,86
0196-8858,2016,80
0196-8858,2015,77
0001-8708,2017,519
0001-8708,2016,439
0001-8708,2018,389
0001-8708,2015,367
1075-9964,2017,178
1075-9964,2016,152
1075-9964,2018,150
1075-9964,2015,139
0003-2697,2015,361
0003-2697,2018,351
0003-2697,2016,344
0003-2697,2017,334
0003-3472,2017,373
0003-3472,2016,363
0003-3472,2015,361
0003-3472,2018,254
0003-4916,2015,352
0003-4916,2017,275
0003-4916,2018,258
0003-4916,2016,253
0195-6663,2016,679
0195-6663,2018,672
0195-6663,2015,625
0195-6663,2017,422
1063-5203,2018,112
1063-5203,2017,95
1063-5203,2016,70
1063-5203,2015,62
0003-9861,2016,301
0003-9861,2015,260
0003-9861,2018,253
0003-9861,2017,212
0092-640X,2018,49
0092-640X,2016,27
0092-640X,2017,26
0092-640X,2015,18
0006-291X,2018,2305
0006-291X,2017,2088
0006-291X,2015,1953
0006-291X,2016,1820
1049-9644,2018,223
1049-9644,2016,192
1049-9644,2015,165
1049-9644,2017,158
1045-1056,2017,109
1045-1056,2016,84
1045-1056,2015,80
1045-1056,2018,66
0045-2068,2018,387
0045-2068,2017,198
0045-2068,2016,123
0045-2068,2015,98
1537-5110,2018,207
1537-5110,2016,206
1537-5110,2017,181
1537-5110,2015,176
1079-9796,2015,148
1079-9796,2018,118
1079-9796,2016,115
1079-9796,2017,87
0889-1591,2017,435
0889-1591,2015,429
0889-1591,2016,405
0889-1591,2018,323
0278-2626,2017,120
0278-2626,2016,102
0278-2626,2018,93
0278-2626,2015,88
0093-934X,2017,138
0093-934X,2015,130
0093-934X,2016,86
0093-934X,2018,66
0890-8389,2018,49
0890-8389,2017,39
0890-8389,2016,28
0890-8389,2015,28
0008-8749,2018,168
0008-8749,2017,128
0008-8749,2016,119
0008-8749,2015,119
1521-6616,2018,212
1521-6616,2017,199
1521-6616,2015,198
1521-6616,2016,176
0010-0285,2017,44
0010-0285,2016,44
0010-0285,2015,39
0010-0285,2018,37
0885-2308,2017,92
0885-2308,2018,68
0885-2308,2016,61
0885-2308,2015,61
1077-3142,2016,182
1077-3142,2017,175
1077-3142,2015,140
1077-3142,2018,102
1053-8100,2015,234
1053-8100,2017,197
1053-8100,2018,163
1053-8100,2016,161
0361-476X,2017,92
0361-476X,2018,65
0361-476X,2015,55
0361-476X,2016,44
0195-6671,2018,342
0195-6671,2016,256
0195-6671,2017,212
0195-6671,2015,179
1045-2354,2015,87
1045-2354,2018,75
1045-2354,2017,60
1045-2354,2016,51
0011-2240,2018,371
