issn,.id,V1
1877-1203,https://www.elsevier.com/tdm/userlicense/1.0/,324
0196-8858,https://www.elsevier.com/tdm/userlicense/1.0/,339
0196-8858,https://www.elsevier.com/open-access/userlicense/1.0/,30
0001-8708,https://www.elsevier.com/tdm/userlicense/1.0/,1714
0001-8708,https://www.elsevier.com/open-access/userlicense/1.0/,226
0001-8708,http://creativecommons.org/licenses/by/4.0/,28
0001-8708,http://www.elsevier.com/open-access/userlicense/1.0/,2
0001-8708,http://creativecommons.org/licenses/by-nc-nd/4.0/,2
0001-8708,http://creativecommons.org/licenses/by/3.0/,1
1075-9964,https://www.elsevier.com/tdm/userlicense/1.0/,618
1075-9964,http://creativecommons.org/licenses/by/4.0/,14
1075-9964,http://creativecommons.org/licenses/by-nc-nd/4.0/,14
1075-9964,https://www.elsevier.com/open-access/userlicense/1.0/,2
1075-9964,http://www.elsevier.com/tdm/userlicense/1.0/,1
0003-2697,https://www.elsevier.com/tdm/userlicense/1.0/,1386
0003-2697,https://www.elsevier.com/open-access/userlicense/1.0/,34
0003-2697,http://creativecommons.org/licenses/by-nc-nd/4.0/,29
0003-2697,http://creativecommons.org/licenses/by/4.0/,19
0003-2697,http://www.elsevier.com/tdm/userlicense/1.0/,4
0003-2697,http://creativecommons.org/licenses/by-nc-nd/3.0/,3
0003-3472,https://www.elsevier.com/tdm/userlicense/1.0/,1351
0003-3472,https://www.elsevier.com/open-access/userlicense/1.0/,121
0003-3472,http://creativecommons.org/licenses/by/4.0/,48
0003-3472,http://creativecommons.org/licenses/by-nc-nd/4.0/,41
0003-3472,http://creativecommons.org/licenses/by/3.0/,4
0003-3472,http://creativecommons.org/licenses/by-nc-nd/3.0/,2
0003-3472,http://creativecommons.org/licenses/by-nc-sa/3.0/,1
0003-4916,https://www.elsevier.com/tdm/userlicense/1.0/,1137
0003-4916,https://www.elsevier.com/open-access/userlicense/1.0/,48
0003-4916,http://creativecommons.org/licenses/by/4.0/,7
0003-4916,http://www.elsevier.com/open-access/userlicense/1.0/,5
0003-4916,http://creativecommons.org/licenses/by-nc-nd/4.0/,5
0003-4916,http://www.elsevier.com/tdm/userlicense/1.0/,1
0195-6663,https://www.elsevier.com/tdm/userlicense/1.0/,2392
0195-6663,http://creativecommons.org/licenses/by/4.0/,54
0195-6663,http://creativecommons.org/licenses/by-nc-nd/4.0/,42
0195-6663,https://www.elsevier.com/open-access/userlicense/1.0/,34
0195-6663,http://www.elsevier.com/tdm/userlicense/1.0/,6
0195-6663,http://creativecommons.org/licenses/by/3.0/,5
0195-6663,http://creativecommons.org/licenses/by-nc-nd/3.0/,3
1063-5203,https://www.elsevier.com/tdm/userlicense/1.0/,339
1063-5203,https://www.elsevier.com/open-access/userlicense/1.0/,36
1063-5203,http://creativecommons.org/licenses/by/4.0/,4
1063-5203,http://creativecommons.org/licenses/by-nc-nd/4.0/,2
1063-5203,http://creativecommons.org/licenses/by-nc-nd/3.0/,1
0003-9861,https://www.elsevier.com/tdm/userlicense/1.0/,1024
0003-9861,https://www.elsevier.com/open-access/userlicense/1.0/,44
0003-9861,http://creativecommons.org/licenses/by/4.0/,19
0003-9861,http://creativecommons.org/licenses/by-nc-nd/4.0/,14
0003-9861,http://www.elsevier.com/tdm/userlicense/1.0/,2
0003-9861,http://creativecommons.org/licenses/by/3.0/,1
0092-640X,https://www.elsevier.com/tdm/userlicense/1.0/,119
0092-640X,https://www.elsevier.com/open-access/userlicense/1.0/,16
0092-640X,http://creativecommons.org/licenses/by-nc-nd/4.0/,2
0092-640X,http://www.elsevier.com/tdm/userlicense/1.0/,1
0006-291X,https://www.elsevier.com/tdm/userlicense/1.0/,8147
0006-291X,http://creativecommons.org/licenses/by-nc-nd/4.0/,241
0006-291X,https://www.elsevier.com/open-access/userlicense/1.0/,121
0006-291X,http://creativecommons.org/licenses/by/4.0/,111
0006-291X,http://www.elsevier.com/tdm/userlicense/1.0/,19
0006-291X,http://www.elsevier.com/open-access/userlicense/1.0/,9
0006-291X,http://creativecommons.org/licenses/by/3.0/,4
0006-291X,http://creativecommons.org/licenses/by-nc-nd/3.0/,2
1049-9644,https://www.elsevier.com/tdm/userlicense/1.0/,736
1049-9644,https://www.elsevier.com/open-access/userlicense/1.0/,44
1049-9644,http://creativecommons.org/licenses/by-nc-nd/4.0/,22
1049-9644,http://www.elsevier.com/open-access/userlicense/1.0/,7
1049-9644,http://creativecommons.org/licenses/by/4.0/,5
1049-9644,http://www.elsevier.com/tdm/userlicense/1.0/,2
1049-9644,http://creativecommons.org/licenses/by-nc-nd/3.0/,1
1045-1056,https://www.elsevier.com/tdm/userlicense/1.0/,339
1045-1056,http://creativecommons.org/licenses/by-nc-nd/4.0/,26
1045-1056,http://creativecommons.org/licenses/by/4.0/,11
1045-1056,https://www.elsevier.com/open-access/userlicense/1.0/,6
1045-1056,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,2
1045-1056,http://www.elsevier.com/open-access/userlicense/1.0/,2
1045-1056,http://creativecommons.org/licenses/by-nc-nd/3.0/,2
1045-1056,http://creativecommons.org/licenses/by-nc-sa/3.0/,1
0045-2068,https://www.elsevier.com/tdm/userlicense/1.0/,805
0045-2068,https://www.elsevier.com/open-access/userlicense/1.0/,3
0045-2068,http://creativecommons.org/licenses/by-nc-nd/4.0/,2
0045-2068,http://www.elsevier.com/tdm/userlicense/1.0/,1
